%% LaTeX2e file `pm25.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  18.92
 2021-07-29  15.11
 2021-07-30  9.04
 2021-07-31  8.54
 2021-08-01  5.92
 2021-08-02  5.28
 2021-08-03  4.05
 2021-08-04  6.70
 2021-08-05  5.81
 2021-08-06  7.15
 2021-08-07  5.88
 2021-08-08  4.28
 2021-08-09  3.71
 2021-08-10  4.47
 2021-08-11  6.43
 2021-08-12  7.42
 2021-08-13  6.83
 2021-08-14  10.21
 2021-08-15  10.91
 2021-08-16  10.44
 2021-08-17  8.17
 2021-08-18  3.84
 2021-08-19  7.00
 2021-08-20  5.88
 2021-08-21  6.54
 2021-08-22  6.99
 2021-08-23  7.05
 2021-08-24  5.03
 2021-08-25  111.21
 2021-08-26  4.85
 2021-08-27  4.48
 2021-08-28  2.48
 2021-08-29  4.38
 2021-08-30  11.84
 2021-08-31  15.63
 2021-09-06  9.10
 2021-09-07  7.65
 2021-09-12  15.73
 2021-10-27  9.25
 2021-11-04  6.58
 2021-11-05  11.03
 2021-11-26  51.71
 2021-11-27  79.73
 2021-11-28  84.37
